O_F,Pc,T_c,rho_c,Cp_c,gamma_c,a_c,mu_c,k_c,Pr_c,Cstar,CF,Isp
5,3426695.72,2972.22,3.5752,2726.8,1.1726,1060.1,9.8859e-05,0.55954,0.4818,1518.1,0.6735,1022.4
5,3571485.68,2974.23,3.7244,2711.5,1.1731,1060.6,9.8902e-05,0.55535,0.4829,1518.2,0.6737,1022.8
5.25,96526.64,2749.75,0.10812,4873.2,1.131,1004.9,9.3879e-05,1.13616,0.4027,1487.7,0.6552,974.7
5.25,241316.6,2818.57,0.2652,4292.2,1.1381,1017.6,9.537e-05,0.96113,0.4259,1498,0.6583,986.1
5.25,386106.56,2852.72,0.42043,4018.6,1.1421,1024.1,9.6106e-05,0.88061,0.4386,1502.7,0.6601,991.9
5.25,530896.52,2875.27,0.57463,3842.3,1.1449,1028.5,9.6591e-05,0.82959,0.4474,1505.7,0.6613,995.7
5.25,675686.48,2892,0.72812,3713.7,1.1471,1031.7,9.695e-05,0.79282,0.4541,1507.7,0.6623,998.6
5.25,820476.44,2905.22,0.88108,3613.2,1.1489,1034.4,9.7233e-05,0.76439,0.4596,1509.3,0.6631,1000.9
5.25,965266.4,2916.11,1.0336,3531.1,1.1505,1036.5,9.7466e-05,0.74138,0.4642,1510.6,0.6638,1002.8
5.25,1110056.36,2925.33,1.1858,3462.1,1.1519,1038.4,9.7664e-05,0.72217,0.4682,1511.7,0.6644,1004.4
5.25,1254846.32,2933.31,1.3377,3402.6,1.1531,1040,9.7834e-05,0.70576,0.4717,1512.6,0.665,1005.8
5.25,1399636.28,2940.32,1.4894,3350.6,1.1542,1041.5,9.7984e-05,0.69148,0.4748,1513.3,0.6655,1007.1
5.25,1544426.24,2946.57,1.6408,3304.5,1.1552,1042.8,9.8118e-05,0.67888,0.4776,1514,0.6659,1008.2
5.25,1689216.2,2952.2,1.792,3263.1,1.1561,1043.9,9.8238e-05,0.66763,0.4801,1514.6,0.6663,1009.2
5.25,1834006.16,2957.3,1.9431,3225.6,1.157,1045,9.8347e-05,0.6575,0.4825,1515.1,0.6667,1010.1
5.25,1978796.12,2961.97,2.0939,3191.4,1.1578,1046,9.8446e-05,0.6483,0.4846,1515.6,0.667,1010.9
5.25,2123586.08,2966.27,2.2447,3160.1,1.1585,1046.9,9.8538e-05,0.63989,0.4866,1516,0.6673,1011.7
5.25,2268376.04,2970.25,2.3953,3131.1,1.1592,1047.8,9.8623e-05,0.63214,0.4885,1516.4,0.6676,1012.4
5.25,2413166,2973.95,2.5458,3104.2,1.1599,1048.6,9.8702e-05,0.62498,0.4902,1516.7,0.6679,1013.1
5.25,2557955.96,2977.4,2.6962,3079.1,1.1605,1049.3,9.8775e-05,0.61833,0.4919,1517.1,0.6682,1013.7
5.25,2702745.92,2980.64,2.8464,3055.7,1.1611,1050,9.8844e-05,0.61213,0.4934,1517.4,0.6685,1014.3
5.25,2847535.88,2983.68,2.9966,3033.7,1.1617,1050.7,9.8909e-05,0.60633,0.4949,1517.6,0.6687,1014.8
5.25,2992325.84,2986.55,3.1467,3012.9,1.1622,1051.3,9.897e-05,0.60087,0.4963,1517.9,0.6689,1015.3
5.25,3137115.8,2989.26,3.2967,2993.3,1.1628,1051.9,9.9028e-05,0.59574,0.4976,1518.1,0.6691,1015.8
5.25,3281905.76,2991.83,3.4466,2974.8,1.1633,1052.5,9.9083e-05,0.59088,0.4988,1518.4,0.6693,1016.3
5.25,3426695.72,2994.27,3.5964,2957.2,1.1637,1053,9.9135e-05,0.58629,0.5,1518.6,0.6695,1016.7
5.25,3571485.68,2996.6,3.7462,2940.5,1.1642,1053.5,9.9184e-05,0.58193,0.5012,1518.8,0.6697,1017.2
5.5,96526.64,2749.45,0.10929,5045.6,1.1284,998.3,9.3692e-05,1.14912,0.4114,1481.4,0.6537,968.4
5.5,241316.6,2819.97,0.26795,4485.3,1.1347,1010.9,9.5222e-05,0.98042,0.4356,1492.5,0.6563,979.5
5.5,386106.56,2855.32,0.42466,4221,1.1382,1017.3,9.5985e-05,0.90258,0.4489,1497.8,0.6578,985.2
5.5,530896.52,2878.84,0.58027,4050.3,1.1406,1021.6,9.6491e-05,0.85312,0.4581,1501.1,0.6588,989
5.5,675686.48,2896.39,0.73511,3925.4,1.1426,1024.8,9.6869e-05,0.81738,0.4652,1503.6,0.6596,991.8
5.5,820476.44,2910.33,0.88938,3827.5,1.1441,1027.4,9.7168e-05,0.78967,0.471,1505.5,0.6603,994.1
5.5,965266.4,2921.86,1.0432,3747.3,1.1455,1029.5,9.7416e-05,0.76719,0.4758,1507,0.6609,996
5.5,1110056.36,2931.67,1.1966,3679.7,1.1466,1031.3,9.7626e-05,0.74839,0.48,1508.3,0.6614,997.6
5.5,1254846.32,2940.19,1.3497,3621.3,1.1477,1033,9.7808e-05,0.73228,0.4837,1509.3,0.6619,999
5.5,1399636.28,2947.71,1.5026,3570.1,1.1486,1034.4,9.7969e-05,0.71824,0.487,1510.3,0.6623,1000.3
5.5,1544426.24,2954.43,1.6551,3524.6,1.1495,1035.7,9.8113e-05,0.70583,0.4899,1511.1,0.6627,1001.4
5.5,1689216.2,2960.5,1.8075,3483.6,1.1503,1036.8,9.8243e-05,0.69473,0.4926,1511.9,0.663,1002.4
5.5,1834006.16,2966.02,1.9597,3446.4,1.151,1037.9,9.8361e-05,0.68471,0.4951,1512.5,0.6634,1003.3
5.5,1978796.12,2971.08,2.1116,3412.5,1.1517,1038.9,9.8469e-05,0.6756,0.4974,1513.1,0.6637,1004.2
5.5,2123586.08,2975.76,2.2635,3381.2,1.1523,1039.8,9.8569e-05,0.66725,0.4995,1513.7,0.6639,1005
5.5,2268376.04,2980.09,2.4151,3352.2,1.1529,1040.6,9.8662e-05,0.65956,0.5014,1514.2,0.6642,1005.7
5.5,2413166,2984.13,2.5666,3325.3,1.1535,1041.4,9.8748e-05,0.65243,0.5033,1514.6,0.6645,1006.4
5.5,2557955.96,2987.91,2.718,3300.1,1.154,1042.1,9.8829e-05,0.6458,0.505,1515,0.6647,1007
5.5,2702745.92,2991.46,2.8693,3276.6,1.1545,1042.8,9.8904e-05,0.63961,0.5067,1515.4,0.6649,1007.6
5.5,2847535.88,2994.81,3.0205,3254.4,1.155,1043.5,9.8976e-05,0.63381,0.5082,1515.8,0.6651,1008.2
5.5,2992325.84,2997.97,3.1715,3233.4,1.1555,1044.1,9.9043e-05,0.62835,0.5097,1516.2,0.6653,1008.8
5.5,3137115.8,3000.97,3.3225,3213.6,1.1559,1044.7,9.9107e-05,0.6232,0.5111,1516.5,0.6655,1009.3
5.5,3281905.76,3003.81,3.4733,3194.8,1.1563,1045.3,9.9168e-05,0.61833,0.5124,1516.8,0.6657,1009.8
5.5,3426695.72,3006.52,3.6241,3177,1.1567,1045.8,9.9225e-05,0.61371,0.5137,1517.1,0.6659,1010.2
5.5,3571485.68,3009.1,3.7748,3159.9,1.1571,1046.3,9.928e-05,0.60933,0.5149,1517.4,0.6661,1010.7
5.75,96526.64,2745.56,0.1105,5138.7,1.1267,992.1,9.3445e-05,1.15232,0.4167,1474.3,0.6527,962.3
5.75,241316.6,2816.85,0.27087,4602.6,1.1325,1004.5,9.4994e-05,0.99077,0.4413,1485.9,0.655,973.2
5.75,386106.56,2852.83,0.42921,4350.5,1.1356,1010.7,9.5772e-05,0.91625,0.4547,1491.5,0.6562,978.8
5.75,530896.52,2876.89,0.5864,4187.8,1.1378,1014.9,9.6291e-05,0.86886,0.4641,1495.2,0.6571,982.5
5.75,675686.48,2894.91,0.74279,4068.8,1.1395,1018.1,9.668e-05,0.8346,0.4713,1497.8,0.6578,985.3
5.75,820476.44,2909.28,0.89858,3975.6,1.1409,1020.6,9.6989e-05,0.80801,0.4772,1499.9,0.6584,987.5
5.75,965266.4,2921.2,1.0539,3899.3,1.1421,1022.8,9.7245e-05,0.78642,0.4822,1501.6,0.6589,989.3
5.75,1110056.36,2931.37,1.2088,3834.9,1.1431,1024.6,9.7464e-05,0.76835,0.4864,1503.1,0.6593,990.9
5.75,1254846.32,2940.23,1.3633,3779.2,1.144,1026.1,9.7654e-05,0.75285,0.4902,1504.3,0.6597,992.3
5.75,1399636.28,2948.07,1.5176,3730.4,1.1448,1027.5,9.7822e-05,0.73933,0.4936,1505.4,0.66,993.5
5.75,1544426.24,2955.08,1.6715,3687,1.1455,1028.8,9.7973e-05,0.72736,0.4966,1506.3,0.6603,994.6
5.75,1689216.2,2961.43,1.8253,3647.9,1.1462,1029.9,9.8109e-05,0.71666,0.4994,1507.2,0.6606,995.6
5.75,1834006.16,2967.23,1.9788,3612.4,1.1468,1031,9.8233e-05,0.70698,0.5019,1508,0.6609,996.6
5.75,1978796.12,2972.55,2.1321,3579.9,1.1474,1031.9,9.8347e-05,0.69817,0.5043,1508.7,0.6611,997.4
5.75,2123586.08,2977.47,2.2853,3550,1.148,1032.8,9.8452e-05,0.6901,0.5065,1509.3,0.6613,998.2
5.75,2268376.04,2982.05,2.4383,3522.3,1.1485,1033.7,9.855e-05,0.68265,0.5085,1509.9,0.6616,998.9
5.75,2413166,2986.32,2.5911,3496.5,1.149,1034.4,9.8642e-05,0.67574,0.5104,1510.5,0.6618,999.6
5.75,2557955.96,2990.32,2.7438,3472.4,1.1494,1035.2,9.8727e-05,0.66931,0.5122,1511,0.662,1000.2
5.75,2702745.92,2994.08,2.8964,3449.7,1.1499,1035.8,9.8808e-05,0.6633,0.5139,1511.5,0.6622,1000.8
5.75,2847535.88,2997.64,3.0488,3428.5,1.1503,1036.5,9.8884e-05,0.65766,0.5155,1511.9,0.6623,1001.4
5.75,2992325.84,3001,3.2011,3408.3,1.1507,1037.1,9.8956e-05,0.65236,0.517,1512.3,0.6625,1001.9
5.75,3137115.8,3004.19,3.3533,3389.3,1.151,1037.7,9.9024e-05,0.64735,0.5185,1512.7,0.6627,1002.4
5.75,3281905.76,3007.23,3.5054,3371.2,1.1514,1038.3,9.9089e-05,0.6426,0.5198,1513.1,0.6628,1002.9
5.75,3426695.72,3010.12,3.6574,3354,1.1518,1038.8,9.9151e-05,0.63811,0.5212,1513.5,0.663,1003.4
5.75,3571485.68,3012.88,3.8093,3337.6,1.1521,1039.3,9.921e-05,0.63383,0.5224,1513.8,0.6631,1003.8
6,96526.64,2738.84,0.11175,5161.7,1.1257,986.1,9.3151e-05,1.14562,0.4197,1466.7,0.6521,956.5
6,241316.6,2810.16,0.27391,4648.6,1.1312,998.3,9.4703e-05,0.99134,0.4441,1478.5,0.6542,967.2
6,386106.56,2846.3,0.434,4408.3,1.1341,1004.5,9.5487e-05,0.9203,0.4574,1484.3,0.6553,972.7
6,530896.52,2870.54,0.59291,4253.7,1.1361,1008.6,9.6011e-05,0.87517,0.4667,1488.1,0.6561,976.3
6,675686.48,2888.74,0.751,4140.8,1.1377,1011.7,9.6404e-05,0.84256,0.4738,1490.9,0.6567,979
6,820476.44,2903.28,0.90846,4052.4,1.1389,1014.2,9.6718e-05,0.81726,0.4796,1493.1,0.6572,981.2
6,965266.4,2915.37,1.0654,3980.2,1.14,1016.3,9.6978e-05,0.79672,0.4845,1494.9,0.6576,983
6,1110056.36,2925.7,1.2219,3919.3,1.1409,1018.1,9.7201e-05,0.77952,0.4887,1496.4,0.6579,984.5
6,1254846.32,2934.71,1.3781,3866.8,1.1417,1019.6,9.7395e-05,0.76478,0.4924,1497.7,0.6583,985.9
6,1399636.28,2942.7,1.534,3820.7,1.1424,1021,9.7567e-05,0.75192,0.4958,1498.9,0.6586,987.1
6,1544426.24,2949.86,1.6895,3779.7,1.1431,1022.2,9.7721e-05,0.74054,0.4988,1499.9,0.6588,988.2
6,1689216.2,2956.35,1.8449,3742.8,1.1437,1023.3,9.786e-05,0.73035,0.5015,1500.9,0.6591,989.2
6,1834006.16,2962.28,2,3709.4,1.1443,1024.4,9.7987e-05,0.72115,0.504,1501.7,0.6593,990
6,1978796.12,2967.73,2.1549,3678.8,1.1448,1025.3,9.8105e-05,0.71277,0.5063,1502.5,0.6595,990.9
6,2123586.08,2972.78,2.3096,3650.6,1.1453,1026.2,9.8213e-05,0.70508,0.5085,1503.2,0.6597,991.6
6,2268376.04,2977.48,2.4641,3624.5,1.1457,1027,9.8314e-05,0.69799,0.5105,1503.8,0.6599,992.3
6,2413166,2981.87,2.6185,3600.3,1.1461,1027.7,9.8408e-05,0.69142,0.5124,1504.5,0.66,993
6,2557955.96,2985.99,2.7727,3577.6,1.1465,1028.5,9.8496e-05,0.6853,0.5142,1505,0.6602,993.6
6,2702745.92,2989.87,2.9268,3556.4,1.1469,1029.1,9.858e-05,0.67958,0.5159,1505.6,0.6604,994.2
6,2847535.88,2993.54,3.0808,3536.3,1.1473,1029.8,9.8658e-05,0.6742,0.5175,1506.1,0.6605,994.8
6,2992325.84,2997.01,3.2346,3517.4,1.1476,1030.4,9.8733e-05,0.66915,0.519,1506.6,0.6606,995.3
6,3137115.8,3000.31,3.3883,3499.5,1.148,1031,9.8803e-05,0.66437,0.5204,1507,0.6608,995.8
6,3281905.76,3003.45,3.5419,3482.6,1.1483,1031.5,9.8871e-05,0.65986,0.5218,1507.4,0.6609,996.3
6,3426695.72,3006.44,3.6954,3466.4,1.1486,1032,9.8935e-05,0.65557,0.5231,1507.8,0.661,996.7
6,3571485.68,3009.31,3.8487,3451,1.1489,1032.5,9.8996e-05,0.65149,0.5244,1508.2,0.6611,997.2
6.25,96526.64,2729.88,0.11302,5126.6,1.1253,980.4,9.282e-05,1.12951,0.4213,1458.7,0.6519,950.9
6.25,241316.6,2800.64,0.27704,4633.5,1.1306,992.4,9.4363e-05,0.98211,0.4452,1470.5,0.6538,961.5
6.25,386106.56,2836.56,0.43897,4403.2,1.1334,998.4,9.5144e-05,0.9144,0.4582,1476.3,0.6549,966.8
6.25,530896.52,2860.68,0.5997,4255.3,1.1353,1002.5,9.5667e-05,0.87144,0.4672,1480.2,0.6556,970.4
6.25,675686.48,2878.82,0.7596,4147.6,1.1368,1005.6,9.6059e-05,0.84043,0.4741,1483,0.6561,973
6.25,820476.44,2893.32,0.91886,4063.3,1.138,1008,9.6373e-05,0.81639,0.4797,1485.2,0.6566,975.2
6.25,965266.4,2905.39,1.0776,3994.5,1.139,1010.1,9.6634e-05,0.79689,0.4844,1487.1,0.657,976.9
6.25,1110056.36,2915.72,1.2359,3936.6,1.1398,1011.8,9.6857e-05,0.78057,0.4885,1488.6,0.6573,978.5
6.25,1254846.32,2924.74,1.3939,3886.7,1.1406,1013.3,9.7051e-05,0.76659,0.4921,1490,0.6576,979.8
6.25,1399636.28,2932.73,1.5515,3842.9,1.1413,1014.7,9.7224e-05,0.7544,0.4953,1491.2,0.6578,981
6.25,1544426.24,2939.9,1.7088,3804,1.1419,1015.9,9.7378e-05,0.74361,0.4981,1492.3,0.6581,982
6.25,1689216.2,2946.41,1.8659,3769.1,1.1424,1017,9.7519e-05,0.73396,0.5008,1493.2,0.6583,983
6.25,1834006.16,2952.36,2.0228,3737.4,1.143,1018,9.7647e-05,0.72525,0.5032,1494.1,0.6585,983.8
6.25,1978796.12,2957.83,2.1794,3708.4,1.1434,1018.9,9.7765e-05,0.71731,0.5054,1494.9,0.6587,984.6
6.25,2123586.08,2962.91,2.3359,3681.8,1.1439,1019.8,9.7874e-05,0.71004,0.5075,1495.7,0.6588,985.4
6.25,2268376.04,2967.63,2.4921,3657.1,1.1443,1020.6,9.7975e-05,0.70333,0.5094,1496.3,0.659,986.1
6.25,2413166,2972.05,2.6482,3634.2,1.1447,1021.3,9.807e-05,0.69711,0.5113,1497,0.6591,986.7
6.25,2557955.96,2976.19,2.8042,3612.8,1.1451,1022,9.816e-05,0.69132,0.513,1497.6,0.6593,987.3
6.25,2702745.92,2980.1,2.96,3592.7,1.1454,1022.7,9.8244e-05,0.6859,0.5146,1498.1,0.6594,987.9
6.25,2847535.88,2983.79,3.1156,3573.8,1.1458,1023.3,9.8323e-05,0.68083,0.5161,1498.7,0.6595,988.4
6.25,2992325.84,2987.29,3.2712,3556,1.1461,1023.9,9.8398e-05,0.67605,0.5176,1499.2,0.6597,988.9
6.25,3137115.8,2990.62,3.4266,3539.2,1.1464,1024.5,9.847e-05,0.67153,0.519,1499.6,0.6598,989.4
6.25,3281905.76,2993.79,3.5819,3523.2,1.1467,1025,9.8538e-05,0.66726,0.5203,1500.1,0.6599,989.9
6.25,3426695.72,2996.81,3.7371,3508,1.1469,1025.5,9.8603e-05,0.66321,0.5215,1500.5,0.66,990.3
6.25,3571485.68,2999.7,3.8921,3493.5,1.1472,1026,9.8665e-05,0.65936,0.5228,1500.9,0.6601,990.8
6.5,96526.64,2719.1,0.1143,5045.7,1.1253,974.9,9.2459e-05,1.10493,0.4222,1450.5,0.6519,945.6
6.5,241316.6,2788.83,0.28024,4569.2,1.1305,986.7,9.3983e-05,0.96376,0.4456,1462.2,0.6538,956
6.5,386106.56,2824.23,0.44407,4346.9,1.1333,992.7,9.4754e-05,0.89904,0.4581,1467.9,0.6548,961.2
6.5,530896.52,2848,0.60671,4204.3,1.1352,996.7,9.5271e-05,0.85803,0.4668,1471.7,0.6555,964.7
6.5,675686.48,2865.88,0.76851,4100.4,1.1366,999.7,9.5659e-05,0.82844,0.4735,1474.5,0.656,967.3
6.5,820476.44,2880.19,0.92967,4019.3,1.1378,1002.1,9.5969e-05,0.80553,0.4788,1476.7,0.6565,969.4
6.5,965266.4,2892.09,1.0903,3953,1.1388,1004.1,9.6227e-05,0.78695,0.4834,1478.5,0.6568,971.1
6.5,1110056.36,2902.28,1.2505,3897.3,1.1396,1005.8,9.6448e-05,0.77141,0.4873,1480.1,0.6572,972.6
6.5,1254846.32,2911.17,1.4104,3849.2,1.1404,1007.3,9.664e-05,0.7581,0.4907,1481.4,0.6574,973.9
6.5,1399636.28,2919.06,1.5699,3807.1,1.141,1008.6,9.681e-05,0.7465,0.4937,1482.6,0.6577,975.1
6.5,1544426.24,2926.14,1.7291,3769.8,1.1416,1009.8,9.6964e-05,0.73624,0.4965,1483.7,0.6579,976.1
6.5,1689216.2,2932.57,1.8881,3736.2,1.1422,1010.9,9.7102e-05,0.72706,0.499,1484.6,0.6581,977
6.5,1834006.16,2938.44,2.0468,3705.7,1.1427,1011.9,9.7229e-05,0.71877,0.5013,1485.5,0.6583,977.9
6.5,1978796.12,2943.85,2.2053,3677.9,1.1432,1012.8,9.7346e-05,0.71123,0.5034,1486.3,0.6585,978.7
6.5,2123586.08,2948.86,2.3637,3652.4,1.1436,1013.6,9.7454e-05,0.70432,0.5054,1487,0.6586,979.4
6.5,2268376.04,2953.52,2.5218,3628.7,1.144,1014.4,9.7555e-05,0.69794,0.5072,1487.7,0.6588,980.1
6.5,2413166,2957.89,2.6798,3606.7,1.1444,1015.1,9.7649e-05,0.69204,0.5089,1488.4,0.6589,980.7
6.5,2557955.96,2961.99,2.8376,3586.2,1.1447,1015.8,9.7737e-05,0.68654,0.5105,1489,0.6591,981.3
6.5,2702745.92,2965.85,2.9953,3566.9,1.1451,1016.5,9.782e-05,0.6814,0.5121,1489.5,0.6592,981.9
6.5,2847535.88,2969.5,3.1528,3548.8,1.1454,1017.1,9.7899e-05,0.67658,0.5135,1490,0.6593,982.4
6.5,2992325.84,2972.96,3.3103,3531.7,1.1457,1017.7,9.7973e-05,0.67205,0.5149,1490.5,0.6594,982.9
6.5,3137115.8,2976.25,3.4675,3515.6,1.146,1018.2,9.8044e-05,0.66777,0.5162,1491,0.6595,983.4
6.5,3281905.76,2979.38,3.6247,3500.3,1.1463,1018.8,9.8112e-05,0.66371,0.5174,1491.5,0.6596,983.8
6.5,3426695.72,2982.37,3.7818,3485.7,1.1465,1019.3,9.8176e-05,0.65987,0.5186,1491.9,0.6597,984.3
6.5,3571485.68,2985.23,3.9387,3471.8,1.1468,1019.7,9.8238e-05,0.65622,0.5197,1492.3,0.6598,984.7
6.75,96526.64,2706.83,0.11559,4929.9,1.1257,969.6,9.2074e-05,1.07305,0.423,1442.2,0.6521,940.4
6.75,241316.6,2775.15,0.28348,4467.4,1.131,981.2,9.3571e-05,0.93744,0.4459,1453.5,0.654,950.6
6.75,386106.56,2809.78,0.44928,4251.5,1.1337,987.1,9.4327e-05,0.87534,0.4581,1459.1,0.6551,955.8
6.75,530896.52,2833.03,0.61389,4112.9,1.1356,991,9.4834e-05,0.836,0.4666,1462.7,0.6558,959.2
6.75,675686.48,2850.5,0.77766,4011.9,1.1371,994,9.5214e-05,0.80764,0.473,1465.5,0.6563,961.8
6.75,820476.44,2864.47,0.9408,3933,1.1383,996.3,9.5517e-05,0.78567,0.4781,1467.6,0.6567,963.8
6.75,965266.4,2876.09,1.1034,3868.5,1.1393,998.3,9.577e-05,0.76786,0.4825,1469.4,0.6571,965.6
6.75,1110056.36,2886.03,1.2656,3814.3,1.1401,1000,9.5985e-05,0.75297,0.4862,1470.9,0.6574,967
6.75,1254846.32,2894.71,1.4274,3767.5,1.1409,1001.5,9.6174e-05,0.74021,0.4895,1472.2,0.6577,968.3
6.75,1399636.28,2902.41,1.589,3726.6,1.1416,1002.8,9.634e-05,0.72909,0.4924,1473.3,0.658,969.4
6.75,1544426.24,2909.31,1.7502,3690.2,1.1422,1003.9,9.649e-05,0.71926,0.495,1474.4,0.6582,970.4
6.75,1689216.2,2915.57,1.9111,3657.5,1.1427,1005,9.6625e-05,0.71047,0.4974,1475.3,0.6584,971.3
6.75,1834006.16,2921.3,2.0719,3627.9,1.1432,1006,9.6749e-05,0.70253,0.4996,1476.1,0.6586,972.2
6.75,1978796.12,2926.57,2.2324,3600.8,1.1437,1006.9,9.6863e-05,0.6953,0.5016,1476.9,0.6588,972.9
6.75,2123586.08,2931.45,2.3927,3575.9,1.1441,1007.7,9.6969e-05,0.68867,0.5035,1477.6,0.6589,973.7
6.75,2268376.04,2935.99,2.5529,3552.9,1.1445,1008.5,9.7067e-05,0.68257,0.5053,1478.3,0.6591,974.3
6.75,2413166,2940.24,2.7129,3531.5,1.1449,1009.2,9.7159e-05,0.67691,0.5069,1478.9,0.6592,974.9
6.75,2557955.96,2944.23,2.8727,3511.5,1.1453,1009.9,9.7245e-05,0.67164,0.5084,1479.5,0.6594,975.5
6.75,2702745.92,2947.99,3.0324,3492.7,1.1456,1010.5,9.7327e-05,0.66672,0.5099,1480,0.6595,976.1
6.75,2847535.88,2951.54,3.192,3475.1,1.146,1011.1,9.7403e-05,0.6621,0.5112,1480.5,0.6596,976.6
6.75,2992325.84,2954.91,3.3514,3458.5,1.1463,1011.7,9.7476e-05,0.65775,0.5125,1481,0.6597,977.1
6.75,3137115.8,2958.11,3.5107,3442.7,1.1466,1012.2,9.7545e-05,0.65365,0.5138,1481.5,0.6598,977.5
6.75,3281905.76,2961.16,3.6699,3427.8,1.1469,1012.7,9.7611e-05,0.64977,0.5149,1481.9,0.66,978
6.75,3426695.72,2964.07,3.8289,3413.6,1.1471,1013.2,9.7674e-05,0.64609,0.5161,1482.3,0.6601,978.4
6.75,3571485.68,2966.85,3.9879,3400.1,1.1474,1013.7,9.7734e-05,0.64259,0.5171,1482.7,0.6602,978.8
7,96526.64,2693.3,0.11689,4788.8,1.1264,964.5,9.167e-05,1.03522,0.4241,1433.7,0.6525,935.5
7,241316.6,2759.91,0.28677,4338.3,1.1318,975.9,9.3132e-05,0.90457,0.4467,1444.6,0.6545,945.5
7,386106.56,2793.59,0.45458,4127.7,1.1346,981.7,9.3869e-05,0.84475,0.4587,1450,0.6556,950.6
7,530896.52,2816.16,0.62121,3992.3,1.1366,985.6,9.4362e-05,0.80686,0.4669,1453.5,0.6563,953.9
7,675686.48,2833.1,0.78702,3893.6,1.1381,988.5,9.4731e-05,0.77953,0.4732,1456.1,0.6569,956.5
7,820476.44,2846.63,0.9522,3816.4,1.1393,990.8,9.5026e-05,0.75835,0.4782,1458.1,0.6573,958.5
7,965266.4,2857.88,1.1169,3753.4,1.1403,992.7,9.5271e-05,0.74119,0.4824,1459.8,0.6577,960.1
7,1110056.36,2867.49,1.2811,3700.3,1.1412,994.4,9.548e-05,0.72683,0.4861,1461.3,0.658,961.6
7,1254846.32,2875.88,1.445,3654.5,1.142,995.8,9.5662e-05,0.71453,0.4893,1462.5,0.6583,962.8
7,1399636.28,2883.3,1.6086,3614.4,1.1427,997.1,9.5823e-05,0.7038,0.4921,1463.6,0.6586,963.9
7,1544426.24,2889.97,1.7719,3578.7,1.1433,998.3,9.5968e-05,0.69431,0.4946,1464.6,0.6588,964.9
7,1689216.2,2896.01,1.935,3546.6,1.1439,999.3,9.6099e-05,0.68583,0.497,1465.4,0.6591,965.8
7,1834006.16,2901.52,2.0978,3517.6,1.1444,1000.3,9.6219e-05,0.67816,0.4991,1466.2,0.6593,966.6
7,1978796.12,2906.6,2.2604,3491,1.1449,1001.1,9.6329e-05,0.67119,0.501,1467,0.6595,967.4
7,2123586.08,2911.3,2.4229,3466.6,1.1454,1001.9,9.6431e-05,0.66479,0.5028,1467.6,0.6596,968.1
7,2268376.04,2915.67,2.5851,3444,1.1458,1002.7,9.6526e-05,0.65889,0.5045,1468.2,0.6598,968.7
7,2413166,2919.76,2.7472,3422.9,1.1462,1003.4,9.6614e-05,0.65343,0.5061,1468.8,0.6599,969.3
7,2557955.96,2923.6,2.9092,3403.3,1.1466,1004.1,9.6697e-05,0.64834,0.5076,1469.4,0.6601,969.9
7,2702745.92,2927.21,3.071,3384.9,1.1469,1004.7,9.6776e-05,0.64358,0.509,1469.9,0.6602,970.4
7,2847535.88,2930.63,3.2327,3367.5,1.1473,1005.3,9.685e-05,0.63912,0.5103,1470.3,0.6604,971
7,2992325.84,2933.86,3.3942,3351.2,1.1476,1005.8,9.692e-05,0.63491,0.5116,1470.8,0.6605,971.4
7,3137115.8,2936.94,3.5556,3335.7,1.1479,1006.4,9.6986e-05,0.63095,0.5128,1471.2,0.6606,971.9
7,3281905.76,2939.86,3.7169,3321.1,1.1482,1006.9,9.705e-05,0.62719,0.5139,1471.6,0.6607,972.3
7,3426695.72,2942.65,3.8781,3307.1,1.1485,1007.4,9.711e-05,0.62363,0.515,1472,0.6608,972.7
7,3571485.68,2945.32,4.0393,3293.8,1.1488,1007.8,9.7168e-05,0.62025,0.516,1472.4,0.6609,973.1
7.2,96526.64,2681.71,0.11793,4662.9,1.1272,960.5,9.1334e-05,1.00155,0.4252,1426.9,0.6529,931.6
7.2,241316.6,2746.76,0.28942,4221.2,1.1327,971.8,9.2765e-05,0.87455,0.4478,1437.4,0.655,941.5
7.2,386106.56,2779.57,0.45887,4014.4,1.1356,977.5,9.3484e-05,0.81639,0.4597,1442.6,0.6561,946.5
7.2,530896.52,2801.51,0.62715,3881.4,1.1377,981.4,9.3964e-05,0.77953,0.4679,1445.9,0.6569,949.8
7.2,675686.48,2817.95,0.79463,3784.4,1.1392,984.2,9.4323e-05,0.75294,0.4741,1448.4,0.6575,952.3
7.2,820476.44,2831.07,0.9615,3708.4,1.1405,986.5,9.4609e-05,0.73234,0.4791,1450.4,0.658,954.3
7.2,965266.4,2841.97,1.1279,3646.4,1.1415,988.4,9.4847e-05,0.71563,0.4833,1452,0.6584,955.9
7.2,1110056.36,2851.27,1.2938,3594.1,1.1424,990,9.5049e-05,0.70164,0.4869,1453.3,0.6587,957.3
7.2,1254846.32,2859.37,1.4594,3549,1.1433,991.5,9.5226e-05,0.68966,0.49,1454.5,0.659,958.6
7.2,1399636.28,2866.55,1.6247,3509.5,1.144,992.7,9.5382e-05,0.67921,0.4928,1455.5,0.6593,959.6
7.2,1544426.24,2872.98,1.7898,3474.3,1.1446,993.8,9.5522e-05,0.66997,0.4954,1456.4,0.6596,960.6
7.2,1689216.2,2878.81,1.9545,3442.7,1.1452,994.9,9.5649e-05,0.66169,0.4977,1457.3,0.6598,961.5
