O_F,Pc,T_c,rho_c,Cp_c,gamma_c,a_c,mu_c,k_c,Pr_c,Cstar,CF,Isp
2,2992325.84,1891.99,3.5246,1991.2,1.2916,1047.2,8.0624e-05,0.44854,0.3579,1382.6,0.7087,979.9
2,3137115.8,1892.02,3.6951,1991.3,1.2916,1047.2,8.0625e-05,0.44843,0.358,1382.6,0.7087,979.9
2,3281905.76,1892.05,3.8657,1991.3,1.2917,1047.2,8.0625e-05,0.44833,0.3581,1382.6,0.7087,979.9
2,3426695.72,1892.08,4.0362,1991.4,1.2917,1047.2,8.0626e-05,0.44824,0.3582,1382.6,0.7087,979.8
2,3571485.68,1892.1,4.2067,1991.5,1.2917,1047.2,8.0626e-05,0.44816,0.3583,1382.6,0.7087,979.8
2.25,96526.64,2043.83,0.11007,2045.5,1.2707,1055.6,8.3447e-05,0.50018,0.3413,1411.6,0.7042,994.1
2.25,241316.6,2046.59,0.27488,2010.2,1.2748,1057.9,8.3518e-05,0.47436,0.3539,1411.4,0.7047,994.6
2.25,386106.56,2047.61,0.43963,1997.2,1.2763,1058.7,8.3544e-05,0.46485,0.3589,1411.4,0.7048,994.8
2.25,530896.52,2048.19,0.60435,1989.9,1.2772,1059.2,8.3559e-05,0.45951,0.3618,1411.4,0.7049,994.9
2.25,675686.48,2048.57,0.76905,1985.1,1.2778,1059.5,8.3568e-05,0.45597,0.3638,1411.3,0.705,995
2.25,820476.44,2048.85,0.93374,1981.6,1.2782,1059.8,8.3575e-05,0.45341,0.3653,1411.3,0.7051,995.1
2.25,965266.4,2049.07,1.0984,1978.9,1.2785,1060,8.3581e-05,0.45144,0.3664,1411.3,0.7051,995.1
2.25,1110056.36,2049.24,1.2631,1976.8,1.2788,1060.1,8.3585e-05,0.44987,0.3673,1411.3,0.7051,995.1
2.25,1254846.32,2049.38,1.4278,1975.1,1.279,1060.2,8.3589e-05,0.44858,0.368,1411.3,0.7051,995.2
2.25,1399636.28,2049.5,1.5925,1973.6,1.2791,1060.3,8.3592e-05,0.44749,0.3687,1411.3,0.7052,995.2
2.25,1544426.24,2049.61,1.7571,1972.3,1.2793,1060.4,8.3594e-05,0.44656,0.3692,1411.3,0.7052,995.2
2.25,1689216.2,2049.7,1.9218,1971.3,1.2794,1060.5,8.3597e-05,0.44575,0.3697,1411.3,0.7052,995.2
